# lnL sigma_lnL x0 x1 x2
0.0 0.0 -0.475776637553816 -0.452573840045266 0.2947924525777832
0.0 0.0 -0.491754034860781 -0.383102819020954 0.4671543377989809
0.0 0.0 -0.206955752368684 0.4095009162463828 0.4920521238269889
0.0 0.0 0.3226949656591392 0.0714016881721738 0.1643265624427607
0.0 0.0 -0.206885912958333 0.4528204764346901 0.4237072194946151
0.0 0.0 -0.495239296237145 -0.306976184316427 0.1507621783025895
0.0 0.0 0.2455757704159737 -0.362756332169429 0.0052993948934245
0.0 0.0 -0.080322996306379 0.3157289278427615 0.3170486500877126
0.0 0.0 0.4483465645698349 0.1660425638713339 0.1737622232631056
0.0 0.0 -0.173863928472014 -0.473986484984386 0.4837657934556482
0.0 0.0 0.0972403473799066 -0.442617951525838 0.0007205954567468
0.0 0.0 -0.202300809657207 -0.157431361760170 0.0113108543857093
0.0 0.0 -0.119656191036199 0.1164220170830639 0.0712394469405245
0.0 0.0 0.200449485164217 -0.424385053004801 0.0771580077989869
0.0 0.0 0.4970014242195182 -0.199510025752986 0.4762071268016322
0.0 0.0 0.2935965048561911 -0.264300259850366 0.0017883469532621
0.0 0.0 0.0515045325776249 -0.295999904897724 0.2176638757318298
0.0 0.0 -0.062303139400058 -0.163551541699993 0.3498331563344815
0.0 0.0 0.3432168456373879 -0.439962190211881 0.0821816822013141
0.0 0.0 -0.028182001348350 -0.138347171110522 0.2388219014644431
0.0 0.0 0.0878487201097245 0.3434354069415803 0.0628535273810597
0.0 0.0 -0.296270890593277 -0.116655838289245 0.340738174405535
0.0 0.0 0.4006050835936414 -0.471836809253370 0.4571153876216901
0.0 0.0 0.2395330648545138 0.2124095664128338 0.3980400595894789
0.0 0.0 0.3823019502241193 -0.300664791250165 0.2415688045922877
0.0 0.0 0.4230153525976435 0.4367715627578281 0.0005452913553197
0.0 0.0 0.0730071255042154 0.481152228705897 0.3915380847834518
0.0 0.0 -0.262691385536530 0.0909589320737612 0.1103425570437008
0.0 0.0 -0.350565370398922 0.4638122754585279 0.0030742690769517
0.0 0.0 -0.045720690266998 0.2797270365608616 0.0451116710989998
0.0 0.0 -0.454420924776622 -0.264839075127023 0.1874694182251787
0.0 0.0 0.2394718172565336 0.2298182767780876 0.4107420563709069
0.0 0.0 0.4969073368174952 -0.329267762141996 0.2114950617240530
0.0 0.0 -0.384866519245187 -0.213637736327138 0.3396877111134941
0.0 0.0 -0.317238698975394 0.4765589030325979 0.0535407132834552
0.0 0.0 -0.044941720636058 -0.240333700215750 0.0227375155851898
0.0 0.0 -0.089438011641933 -0.143983823559923 0.0519329703869290
0.0 0.0 0.3569618403466422 -0.095217976350437 0.1929360992397948
0.0 0.0 0.4408558753560441 0.0194121672806028 0.4762677226234998
0.0 0.0 -0.007419220687744 0.0904846508364916 0.0671079349270064
0.0 0.0 0.2457739245765551 0.4215294741476001 0.0566481436067213
0.0 0.0 -0.173494480502972 -0.293522903164537 0.4636745108965133
0.0 0.0 0.3531796116104118 -0.070067191103941 0.0565953512891031
0.0 0.0 0.4282641643679769 0.4787370082807457 0.0475742349897162
0.0 0.0 0.4730215053453834 0.2986442544566117 0.3319463885907878
0.0 0.0 0.1798820278901455 -0.325036359584482 0.4614458427198602
0.0 0.0 -0.457743897605618 -0.268607587137435 0.2023812688100670
0.0 0.0 -0.384180395129235 -0.311545440546082 0.0513548001624271
0.0 0.0 0.0849115833544191 0.3596863571671391 0.1256936180590585
0.0 0.0 0.4338617170373307 0.0100784623083406 0.0057720376842045
0.0 0.0 -0.299054069689016 -0.034126105293383 0.0654619238951739
0.0 0.0 -0.292907782662239 -0.100861182575723 0.4006098374521444
0.0 0.0 -0.435462791212858 0.3497090887176639 0.2918606283562403
0.0 0.0 -0.234936856480755 0.2917815898292205 0.4944098854448695
0.0 0.0 -0.032577110043585 -0.452619374684047 0.3279230684641269
0.0 0.0 -0.420664347960480 -0.324568714256293 0.1548456268342633
0.0 0.0 0.4442545343968689 -0.039034313947314 0.0732508095658115
0.0 0.0 0.4691726032845190 -0.113326262754393 0.4720103277197268
0.0 0.0 0.4632161496933452 0.3165592349532712 0.0568129743633420
